trajectory_source,subset,contrast,metric,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
critical_position,RelativeClause,RC_Obj-RC_Subj,cumulative_kl,24,-0.2869565217391304,0.1739742419036643,-0.18072052589386156,0.3980697467932395,0.8034563746797572,False
critical_position,RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,24,-0.3095652173913043,0.1410114671131046,-0.20551565576220396,0.33534362530333084,0.8034563746797572,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,24,0.09797550918367356,0.6487816382832455,0.08197589640458945,0.7033506110935582,0.8468703049866902,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,24,0.15043478260869564,0.48290169232371793,0.0379655457196202,0.8601945593072475,0.8468703049866902,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,24,0.047826086956521734,0.8243778236378612,0.06784589104647336,0.7527652115671408,0.898982522665973,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,24,-0.06608695652173913,0.7589874525518234,-0.05560934048456899,0.7963411519669326,0.8789623424430653,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,24,-0.17391304347826084,0.4163699952935561,-0.0023525303204418035,0.9912954735302868,0.81608519077537,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,24,0.25913043478260867,0.22143371075635887,0.11394259748392604,0.5960180894405342,0.8034563746797572,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,24,0.27478260869565213,0.19378063586855726,0.11995492631794785,0.5766341406660049,0.8034563746797572,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,24,-0.047389639558426074,0.825956507906223,-0.04880406177889393,0.8208427742507234,0.898982522665973,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,24,0.1782608695652174,0.4046292620718748,0.10682501857376442,0.6193147555065062,0.81608519077537,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,24,0.11652173913043477,0.587669032951115,-0.03798760134486215,0.860114119818296,0.8468703049866902,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,24,0.13999999999999999,0.5140986909290425,0.07577182116831269,0.7249171438242613,0.8468703049866902,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,24,0.20608695652173914,0.3339723271430127,0.0451236963040394,0.8341630973451817,0.81608519077537,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,24,0.2226086956521739,0.29577842253442194,0.44972442168011045,0.02746036299618301,0.81608519077537,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,24,0.27999999999999997,0.1851120536513263,0.4381083901197741,0.03225002471362984,0.8034563746797572,False
