trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,regout,24,-0.02260869565217391,0.9164870430337815,0.23562825705356066,0.26768349322299856,0.9863339303791361,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,ffd,24,0.29026014964224794,0.16885142444722748,0.28055083331546127,0.18421268938225782,0.9295281434334138,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,ffd,24,0.03652173913043478,0.8654631927363388,-0.021352497676568744,0.9211127345767873,0.9766457066962368,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,ffd,24,0.21043478260869564,0.3236466869695016,0.2557554820613056,0.22772396199368913,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,ffd,24,-0.05130434782608695,0.8118206065534151,-0.01690632691339926,0.9375038095754507,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,ffd,24,-0.1269565217391304,0.5544163873133454,-0.22335417628255894,0.2941220162099334,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,ffd,24,0.18521739130434778,0.38623268190217497,0.25192376227679814,0.23500770760062184,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,ffd,24,0.09217391304347824,0.6683845191595212,0.1380824601972957,0.5199355530254651,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,gz,24,0.25713736980319263,0.22513423906160218,0.2677178750560133,0.20595417402927294,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,gz,24,0.020869565217391303,0.9228917031216202,-0.04718764663763271,0.8266873632567928,0.9863339303791361,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,gz,24,0.2417391304347826,0.2551064662177336,0.27584380564465855,0.19199543876624553,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,gz,24,0.19391304347826085,0.3639188559293709,0.22223071059469285,0.2966204930253246,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,gz,24,-0.08956521739130434,0.6772689468428972,-0.2194330429776074,0.30289940204669763,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,gz,24,0.2791304347826086,0.18653796075704562,0.2652943068976785,0.21024669056652648,0.9295281434334138,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,gz,24,0.24086956521739128,0.2568724180084135,0.22402288099548856,0.2926411315564804,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,gp,24,-0.47722952531270496,0.01836668389842923,-0.4024949809695827,0.05118431932972198,0.3176355921257761,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,gp,24,0.6321739130434781,0.0009191401974675445,0.4794131389199052,0.01776534035025955,0.09007573935181935,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,gp,24,-0.5156521739130434,0.009906970265358948,-0.4155505352542077,0.04343801328148907,0.2406933121507491,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,gp,24,-0.08086956521739129,0.707180750468238,-0.04598769366509295,0.8310319196366668,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,gp,24,-0.33826086956521734,0.10593440216322046,-0.20662576331668,0.33268211073746745,0.773407881723603,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,gp,24,-0.5095652173913043,0.010975435304819026,-0.45130342450747374,0.02685587060126704,0.2406933121507491,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,gp,24,-0.5739130434782608,0.0033630914138609146,-0.5938210181929623,0.002218742292907018,0.15895344696280558,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,tt,24,-0.02440625882877761,0.9098724922375607,-0.10282600450845351,0.6325636636765073,0.9863339303791361,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,tt,24,0.19913043478260867,0.3508987130768876,0.17930728132758533,0.40183133361728923,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,tt,24,-0.0626086956521739,0.7713343005112614,-0.10322285710965351,0.6312438744520001,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,tt,24,0.07652173913043478,0.7222991032128186,0.11509275654294351,0.5922886459071903,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,tt,24,-0.017391304347826087,0.9357145967179171,-0.10498702134306703,0.6253901674459362,0.9886301208285101,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,tt,24,-0.18173913043478263,0.3953708419767238,-0.267656362594801,0.20606238431522375,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,tt,24,-0.25999999999999995,0.2198319601699354,-0.4145724249547388,0.043984352305366306,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,regin,24,0.050119995809096866,0.8160914633334465,0.09735173487590743,0.6508787553568828,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,regin,24,-0.24608695652173912,0.24639464844484843,-0.25169766554669804,0.23544223154162047,0.9727939923156125,False
