trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,gp,24,-0.042608695652173914,0.8432913759776878,-0.015478981750396345,0.942771343336575,0.9891671285147632,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,gp,24,0.10782608695652172,0.6160158821815656,0.03010607230022084,0.8889391101445723,0.9597233199474671,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,gp,24,-0.4460869565217391,0.028894442765709728,-0.19780508360008747,0.35417983404914716,0.447103482795719,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,gp,24,-0.2078260869565217,0.3298186178055177,-0.3804306120145601,0.06667127620488547,0.8420339717772517,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,gp,24,-0.13652173913043478,0.5247096194478427,-0.3723421922151602,0.07316801602202264,0.9399802159645294,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,tt,24,-0.2614956303083315,0.21709511095112563,-0.27786055255048525,0.18863383007259663,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,tt,24,0.19130434782608693,0.37053280666994315,0.2437117524534847,0.2511295397774176,0.8731181757038086,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,tt,24,-0.18086956521739128,0.39767420741690407,-0.19546872801516751,0.36000755842359455,0.8731181757038086,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,tt,24,0.2834782608695652,0.17948344297550767,0.23773768350117916,0.26329802714326267,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,tt,24,-0.11826086956521738,0.5820677933682575,-0.10580539095183857,0.6226821323843649,0.9454581837031366,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,tt,24,-0.31565217391304345,0.13295721253912648,-0.4879298494049033,0.015571108919688569,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,tt,24,-0.29739130434782607,0.15815426059539578,-0.49000397692944736,0.015071760613799775,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,regin,24,-0.24275511013623438,0.2530531352653211,-0.10876698421463626,0.6129218546284612,0.791464061361749,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,regin,24,-0.03652173913043478,0.8654631927363388,-0.21311504731189634,0.31737885568615953,0.9891671285147632,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,regin,24,-0.16260869565217392,0.44775415138241526,-0.02705641596543233,0.9001313334820717,0.9016419212769183,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,regin,24,0.437391304347826,0.03256619344201191,0.4079387367561278,0.04783336023019243,0.4744945427645431,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,regin,24,0.22869565217391302,0.2824232076363163,0.24942999491941206,0.23982959330378115,0.8219523991034429,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,regin,24,-0.32,0.12741057282041748,-0.32284600394459695,0.12387168411267652,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,regin,24,-0.348695652173913,0.09493011884568246,-0.36013106377768134,0.08387373304801056,0.7373556066060333,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,regout,24,-0.3438667538554559,0.09991147358005661,-0.2834549236938325,0.17952080895360795,0.7373556066060333,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,regout,24,0.11826086956521738,0.5820677933682575,0.19562333802013543,0.3596201843701229,0.9454581837031366,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,regout,24,-0.3017391304347826,0.15187145311574088,-0.28300630704062635,0.18024015020138373,0.7724427881730861,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,regout,24,-0.034782608695652174,0.8718168719786574,-0.11761589852759645,0.5841423531083049,0.9891671285147632,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,regout,24,-0.06782608695652173,0.7528351863688199,-0.1578727592425702,0.46126394013578953,0.9832494710692453,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,regout,24,-0.4591304347826086,0.024015134743792042,-0.5122768037005324,0.010488279000196875,0.41532056556910946,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,regout,24,-0.48086956521739127,0.017373241582602485,-0.5392737551704878,0.006539913004019097,0.34051553501900866,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,ffd,24,-0.24657534829473715,0.2454283162799098,-0.16337307856977834,0.44559345484499546,0.7843035324597117,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,ffd,24,0.21826086956521737,0.30555439158449416,0.0939994776387285,0.6621927048145249,0.8219523991034429,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,ffd,24,-0.1782608695652174,0.4046292620718748,-0.08259275354148102,0.7012180691251554,0.8731181757038086,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,ffd,24,0.268695652173913,0.2042392593734892,0.33327345777161027,0.11151418457686788,0.7724427881730861,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,ffd,24,-0.2904347826086956,0.1685835887354832,-0.49266342653216477,0.014450743429159946,0.7724427881730861,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,ffd,24,-0.2791304347826086,0.18653796075704562,-0.1536549105993806,0.47347169528919225,0.7724427881730861,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,ffd,24,-0.11478260869565216,0.5932933336915411,-0.04466363971334852,0.8358313711555644,0.9531544211638621,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,gz,24,-0.05566427615824754,0.7961440875790607,0.08433679504795547,0.695200607184193,0.9832494710692453,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,gz,24,0.1034782608695652,0.6303950708493536,-0.03948752487246654,0.8546469275876689,0.9597233199474671,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,gz,24,-0.002608695652173913,0.9903476848039034,0.16123896407322758,0.45163980917578456,1.0,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,gz,24,0.1973913043478261,0.3552078904108176,0.37391503287425093,0.0718684411881719,0.8731181757038086,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,gz,24,-0.12347826086956522,0.5654049951421966,-0.5480537471389891,0.005561891881516403,0.9454581837031366,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,gz,24,0.049565217391304345,0.8180937896030709,0.11892517214623456,0.5799344063132462,0.9891671285147632,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,gz,24,-0.014782608695652172,0.9453421257736343,0.12470847528774803,0.5615073674932936,1.0,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,gp,24,-0.604044371748483,0.0017732703226765348,-0.6259158846418719,0.0010696110592393444,0.0844786745030057,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,gp,24,0.6069565217391303,0.0016613144755187744,0.5734062393771009,0.0033977436821570543,0.0844786745030057,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,gp,24,-0.5930434782608696,0.002256205841038741,-0.5877176389722893,0.002527573546263809,0.0844786745030057,False
