subset,contrast,cond_a,cond_b,variable,item,mean_diff(a-b),auc_diff(a-b)
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,23,0.019776559439691775,0.019771835058775
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,24,-0.0014964302477634731,-0.001489098739536342
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,1,-0.0007892464867444087,-0.0007898782990249524
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,3,4.325360209361749e-05,4.3203274078458726e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,5,4.080375446740769e-05,4.092320684224095e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,6,-0.0022480203506674836,-0.002255979327738106
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,7,2.962430166841919e-05,2.9880127157563665e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,8,-0.00010185559172768923,-0.00010159098078729657
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,9,-1.6938814533009336e-05,-1.6942764905932547e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,10,-0.0005781545974155873,-0.0005782557756379477
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,12,2.2885660334748997e-05,2.2890868680159678e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,14,-0.0016004422216346985,-0.0015999574697623381
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,15,1.6871772565397565e-05,1.6877853558909318e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,16,4.8186537759006205e-05,4.81177736521015e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,17,1.0622254400799129e-05,1.0611141819803335e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,19,-3.5858899989456496e-05,-3.581407210468479e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,20,2.4985769545671234e-05,2.4919930053724014e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,21,0.0001475546086362113,0.00014734575810558488
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,23,2.1740731775324068e-05,2.175405102255696e-05
Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,24,5.85852974766758e-06,5.790651404101373e-06
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,1,1.0483484952203728,1.0475357749022751
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,2,1.482662670752127,1.4831562738857194
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,3,1.2157959959643831,1.2169586865397006
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,4,1.1256708846738488,1.1260072956263159
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,5,0.18546592986496666,0.1856825372569837
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,6,1.31912512882856,1.319813647422222
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,7,2.054900548149593,2.0555222853351256
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,8,1.2387029115581445,1.2390677130987526
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,9,2.319776140451946,2.3198096697883774
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,10,0.6063784503440218,0.6061052032411132
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,11,0.02297820872409577,0.022643181649961763
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,12,-0.0015096601241516615,-0.0020010076073159223
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,13,1.2849799911745696,1.285685774914477
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,14,-0.46370742517713004,-0.46293438194116965
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,15,1.3473731135281184,1.3483697720342258
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,16,-0.8380928440604023,-0.837802764578459
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,17,-0.15134429217948012,-0.15163457524385576
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,18,0.9548338796082304,0.9558217444026904
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,19,1.2904276461605377,1.2906614079326784
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,20,0.781335965593617,0.7813049539434993
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,21,1.2211478511889198,1.2211606881396588
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,22,1.874629068505253,1.876005570591667
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,23,-0.7087302731016848,-0.7082968092558345
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,24,-0.8894759084226976,-0.889742921683417
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,1,0.10738490468892664,0.10479972117543428
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,2,0.22428347767297954,0.22403564106583923
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,3,-0.2849747359692751,-0.2851427607739689
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,4,-2.067989483059351,-2.072739531827038
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,5,0.46668335492886487,0.46565166006413117
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,6,0.13336250547188613,0.131201667438381
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,7,0.26439314715227297,0.2610119370775288
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,8,-0.5173728279612172,-0.5190658022552388
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,9,0.22319679773033566,0.22394430254153577
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,10,0.27374267512230427,0.27244565648318086
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,11,-0.08908283764393474,-0.08936724884697085
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,12,0.830974550414924,0.8278110076922311
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,13,-0.17823118218225445,-0.18151296451505308
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,14,0.004442406251802069,0.006247915170074905
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,15,-0.5429140566102224,-0.5414093701196034
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,16,-0.46602884842522785,-0.4683327179015766
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,17,-0.5515525405610626,-0.5543611090591628
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,18,-1.0529588262759262,-1.0533803879638226
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,19,0.7771152309197278,0.7781363232069969
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,20,-0.5715464927563116,-0.574028205812581
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,21,0.19739421742645347,0.19721374217676602
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,22,-0.20345009643228804,-0.20162551325561567
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,23,-0.32560162209985266,-0.3229462312046368
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,24,-0.07441550272793021,-0.07416678211887129
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,1,-1.6408903113674602,-1.6420192677487981
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,2,-1.4481210068351609,-1.452863052976562
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,3,-4.144564293054177,-4.151322861372105
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,4,0.09591132126267725,0.09739326980660029
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,5,-0.6712826451538253,-0.6747531600498432
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,6,-1.6646335710510847,-1.668724242690676
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,7,0.13815251243577178,0.13874701619844265
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,8,-1.396891324250364,-1.4002882721379266
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,9,-1.043970048200716,-1.0449512674795178
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,10,0.5554252715012917,0.559663830171566
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,11,1.3168544034010443,1.3176789090719807
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,12,-0.2132500571377328,-0.2078500104855909
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,13,-1.6182393069091778,-1.61771626351258
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,14,-0.7614817166272041,-0.7633321076495448
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,15,-2.185789884116474,-2.195257436625887
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,16,-0.24816376128589104,-0.25033045332929643
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,17,0.7901577768060579,0.7972311497502909
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,18,-0.9035158030743452,-0.9140928789911287
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,19,-1.2271640240987847,-1.2294971554767242
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,20,-1.383856763873991,-1.3866354815636095
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,21,-0.3060087027159476,-0.30726903736559247
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,22,-3.0909888577212574,-3.0937580080259157
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,23,1.8699882383632207,1.8744683758817886
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,24,0.6426251264550935,0.6474407976208728
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,1,0.006611305653955131,0.006587786259403824
