trajectory_source,subset,contrast,metric,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,24,-0.32,0.12741057282041748,-0.352959651152425,0.09068738268251145,0.5402705319760378,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,24,0.3659071024789344,0.07867190857460231,0.4751933834163985,0.018942229784289374,0.5402705319760378,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,24,-0.46434782608695646,0.0222598535139937,-0.5157829232256135,0.009885000394578906,0.337143419179574,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,24,0.3921739130434782,0.05803633887025061,0.45886628153849973,0.024106885122569102,0.5402705319760378,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,24,0.08695652173913042,0.6861953252985288,-0.08326269623282904,0.6989044822629789,0.908008315983377,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,24,0.23478260869565212,0.26945461176954527,0.19241201075493605,0.3677160648646175,0.6949092619319852,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,24,0.4495652173913043,0.027521911769761147,0.5577754912451947,0.004625012493522478,0.337143419179574,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,24,0.528695652173913,0.007905085955029822,0.5354462462814809,0.00700912458051166,0.337143419179574,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,steps_taken,24,-0.05545904406197872,0.7968803546298029,-0.21515586884446833,0.31265636497464805,0.9228917031216202,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_surprisal,24,-0.020869565217391303,0.9228917031216202,-0.07071527147202097,0.7426469039068493,0.9228917031216202,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_entropy,24,-0.03652173913043478,0.8654631927363388,-0.22573399896215818,0.2888730012639019,0.9228917031216202,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,24,-0.03913043478260869,0.855947935071337,-0.17539603881804916,0.41234452483757333,0.9228917031216202,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,24,0.08695652173913042,0.6861953252985288,0.1864986491927189,0.3828970147618109,0.908008315983377,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,cumulative_kl,24,-0.13391304347826086,0.5327356259700111,-0.3233302173210555,0.12327675679724318,0.8701348557510182,False
bidirectional,RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,24,-0.1452173913043478,0.4983794692456114,-0.2612053698258087,0.2176244668713399,0.8420894480356883,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,24,0.47661356865616034,0.018539272226431234,0.25029731015647816,0.23814527780140912,0.337143419179574,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,24,-0.3008695652173913,0.15311364746090095,-0.15053643148277102,0.4826025762063688,0.5402705319760378,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,24,0.3278260869565217,0.11785162108888597,0.2751999830421592,0.19307716175372908,0.5402705319760378,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,24,0.08521739130434783,0.692169031649988,0.11037409877598393,0.6076518814587248,0.908008315983377,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,24,-0.046956521739130425,0.8275237958648594,-0.0589268760068524,0.7844626118711333,0.9228917031216202,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,24,0.27478260869565213,0.19378063586855726,0.39028569447430134,0.0593631105149674,0.5799667008608036,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,24,0.27043478260869563,0.20121293703334,0.3780403030489361,0.06854338041426346,0.5799667008608036,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,24,-0.15453295694643485,0.4709168289223178,0.004847439981939275,0.9820652074478988,0.8420894480356883,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,24,0.10869565217391304,0.6131561977406332,0.08863330937543755,0.6804529675579482,0.908008315983377,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,24,-0.3,0.1543630091360108,-0.050629392332926626,0.8142539135517084,0.5402705319760378,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,24,-0.34695652173913033,0.09670236783045817,-0.32486069428595515,0.1214099799856162,0.5402705319760378,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,24,0.11130434782608695,0.6046100724044843,0.03153217138579613,0.8837122612955837,0.908008315983377,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,24,-0.14956521739130432,0.48546433225418195,0.19211801145394616,0.368462481257292,0.8420894480356883,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,24,-0.08173913043478259,0.7041697144360882,0.18900137505784081,0.3764288960690819,0.908008315983377,False
