subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,10,174.0,0.14525171899133404,1.321343183517456,0.6536149978637695,-3.19182472594548e-05,0.07505127666445333,0.2651077698683366
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,11,17.0,1.4038613716549264,0.17924213409423828,0.04825305938720703,-4.968527355231345e-05,0.032688440805941354,0.16654150484828278
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,12,-34.0,0.1293463678394957,0.19188833236694336,1.4867939949035645,2.6659909053705633e-06,-0.16763183565853979,-0.7309886443254072
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,13,248.0,-1.9121317509685678,2.284388303756714,0.5597324371337891,5.2291765314294025e-05,0.6432671153197589,1.7459603616734967
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,14,-111.0,-0.6062881286241826,-1.2364583015441895,-0.3016176223754883,0.00042843809933401644,-0.1895533403439913,-0.46032889117486775
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,15,248.0,-1.8660915741124242,2.2949750423431396,-0.6915111541748047,9.42851784202503e-06,0.11796272236642835,0.10700988094322383
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,16,-183.0,-0.6258871610193655,-1.7928431034088135,-1.0830650329589844,0.00017190747894346714,-0.08675012705862173,-0.24188250786392018
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,17,17.0,1.109298965496201,-0.19024109840393066,-0.6173920631408691,-2.10208861517458e-06,0.01902136207354488,-0.1180785961332731
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,18,248.0,0.5991423429282356,1.514906883239746,-1.4245586395263672,-3.7421779097712715e-07,0.2321590047904465,0.5935402188915759
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,19,248.0,-1.7060614689523934,2.4880447387695312,1.1664562225341797,2.185787889175117e-05,0.13714989350592077,0.4328637942089699
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,1,248.0,-3.3735579448549444,2.4188480377197266,1.050351619720459,0.0010709552152547985,0.9755203942149819,3.236428893986158
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,20,174.0,-2.1129424978576754,1.5707871913909912,-0.12431097030639648,0.009046538267284632,0.11397834433591925,0.34797339187934995
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,21,248.0,-0.11053144104327473,2.435432195663452,0.48708343505859375,-8.16993724583881e-06,0.13004955079304636,0.33736666868207976
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,22,405.0,-3.997787340536229,3.2022571563720703,-0.8099784851074219,0.0013003976782783866,0.3609212133960682,1.32315151556395
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,23,-132.0,1.956959110091372,-1.588611125946045,-1.0339794158935547,-1.2545298204713617e-06,-0.03926174595108023,0.2066364961792715
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,24,-183.0,-0.27060912382122204,-1.6712570190429688,-0.19182109832763672,0.00012305749987717718,-0.22873685482045403,-0.6336670271120965
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,2,332.0,-1.9103776472221767,2.771759033203125,0.3969745635986328,2.7704918466042727e-06,0.2367256445941166,0.3354677581228316
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,3,248.0,-3.9764265597371455,1.9653985500335693,-0.5282754898071289,0.0001717538198136026,0.16804426119779237,0.4381354929646477
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,4,379.0,0.14292509532840114,2.1161725521087646,-2.3188905715942383,-3.2845654232005472e-06,0.12159676131705055,0.35211220261408016
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,5,17.0,-0.32210886317307796,0.282473087310791,0.37917661666870117,1.09607526610489e-06,0.016187351327971555,0.04838983272202313
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,6,248.0,-1.4307615366184034,2.3623228073120117,0.04046916961669922,0.0017789932899177074,0.3327216343859618,0.9260038752690889
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,7,383.0,-0.8618844409617523,3.8626654148101807,0.04776287078857422,-0.0004392295377328992,0.2378123183407297,0.6704828349174932
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,8,248.0,-0.900861035887683,2.331125259399414,-0.42450809478759766,-5.935842636972666e-05,0.17754196612077067,0.4292741406825371
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,9,576.0,-2.0578197188334215,4.629831314086914,0.03974437713623047,6.544401912833564e-06,0.34224571034428664,0.49759268312482163
