subset,contrast,metric,frac_dominant_sign,cv_gt_1,n,mean,sd,iqr,cv,ci_lo,ci_hi
ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,0.75,True,24,0.3027319709459941,0.6433531995049413,0.5794891119003296,2.1251577674289064,0.06177058120568593,0.5600427180528639
ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,0.7083333333333334,True,24,-1.2848579409308059e-05,0.0006246051644312042,9.011325052199481e-05,48.61278002288047,-0.00023139791261002075,0.0002500467516759029
ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,0.5416666666666666,True,24,0.11708986743951755,0.4043707859651689,0.5753714498223417,3.453507932050957,-0.03701353547333686,0.2729820606033814
ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,0.4583333333333333,True,24,-0.0688663627030716,1.2164667066529848,2.0181333867803914,17.664163735465117,-0.5343410297832331,0.37246522892940703
RelativeClause,RC_Obj-RC_Subj,steps_taken,0.5833333333333334,True,24,-76.33333333333333,542.1240566084696,830.5,7.102061876966851,-286.1166666666667,143.70416666666645
RelativeClause,RC_Obj-RC_Subj,final_surprisal,0.8333333333333334,True,24,-4.883326793109872,8.789794866182088,6.409078740328815,1.7999604037526313,-8.003359661518598,-1.1801088428005502
RelativeClause,RC_Obj-RC_Subj,final_entropy,0.625,True,24,-1.7490704696004589,4.915912629306609,7.558003857731819,2.810585802428849,-3.623942872501599,0.28359457366944574
RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,0.9166666666666666,False,24,-2.9074206749598184,1.5534525174873972,1.766399621963501,0.5343060709674793,-3.4751887758572897,-2.258879698812962
RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,0.875,True,24,0.030250873915169525,0.08208152630711911,0.06322401681882184,2.7133604978585004,-0.00637241086001931,0.058404097391652234
RelativeClause,RC_Obj-RC_Subj,cumulative_kl,0.5833333333333334,True,24,-0.010018385923331152,0.5129800497759549,0.7084212264253438,51.20386194958908,-0.20649615630121995,0.19248273985229852
RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,0.5833333333333334,True,24,-0.29643803005698527,1.5233584773243578,1.924890110749402,5.138876671901771,-0.8975222191869154,0.30756045135494775
AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,0.20833333333333334,True,24,-70.08333333333333,284.3705354801643,0.0,4.057605738123629,-186.95937500000002,26.8635416666665
AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,0.5833333333333334,True,24,0.3059646523219499,1.7243346285662917,0.846608352771812,5.63573149865648,-0.2745567594888864,0.994543337213798
AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,0.4166666666666667,True,24,-0.3208821540077527,1.9512835229089422,0.332125723361969,6.08099733356252,-1.1015765177706878,0.3583995871245852
AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,0.7083333333333334,True,24,0.22522467374801636,0.45795731552662833,0.5024642944335938,2.033335459679678,0.047600401441256206,0.40333647876977907
AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,0.625,True,24,-0.0012074424667923485,0.006642340398841866,7.690357625733668e-05,5.501165133348081,-0.004099737908179687,0.0005130046442799532
AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,0.5416666666666666,True,24,-0.09490983166771609,0.5495163221512614,0.05573955162799393,5.789877744964764,-0.31032534949257334,0.11130568060611568
AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,0.6666666666666666,True,24,-0.20084357103405637,1.1017183745436627,0.3482352718128823,5.485455017909675,-0.6278551100195727,0.21959304224598464
AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,0.375,True,24,-78.16666666666667,339.40877837878577,137.25,4.34211656774566,-211.553125,53.045833333333306
AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,0.5833333333333334,True,24,0.6413837788414948,2.4755779765941277,0.8172964744428368,3.8597452231574403,-0.25601412864270107,1.6613994716618798
AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,0.5833333333333334,True,24,-0.5667064845717201,2.6098841601342606,0.7013177871704102,4.605354325717027,-1.568881169204057,0.42452600747346847
AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,0.7083333333333334,True,24,0.2082542379697164,0.5924395060388307,0.4224666357040405,2.8447896754205844,-0.018802771965662636,0.4607930009563764
AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,0.5,True,24,0.00127878660100104,0.007172274012361336,8.072015680227196e-05,5.608655898292058,-0.0005825270753837467,0.004390560313692167
AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,0.5416666666666666,True,24,-0.09694005505465005,0.5232477268046103,0.24135071452474222,5.397642146062625,-0.309887834367161,0.0848405706696816
AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,0.5,True,24,-0.17767045461247713,1.3403513062736931,0.901638482544513,7.544030374646012,-0.7364333597864969,0.29273937327161526
