subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,7,-511.0,0.26959224062667886,-4.476866722106934,-0.13181400299072266,0.00024639934417791665,-0.5214743817232375,-0.8144568700226955
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,8,-307.0,2.2161221612758304,-2.2682876586914062,0.10303878784179688,-0.000603093474637717,-0.20454866860382026,-0.4340728181996383
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,9,-262.0,1.6497070516871268,-2.6145873069763184,0.12232017517089844,-5.614306246570777e-06,-0.13567553604298155,-0.43281787540763617
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,10,-547.0,3.408803261682607,-5.367483139038086,-1.4981422424316406,-0.00011108212493127212,-0.37580263124255,-0.6060136393061839
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,11,-450.0,1.9987643071188472,-3.0476863384246826,1.358809471130371,-8.939145118347369e-06,-0.23767143244185718,-0.5043672654428519
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,12,-237.0,0.5560817110601821,-0.7212238311767578,1.1439881324768066,-1.722939487081021e-06,-0.08993233976070769,-0.08914950478356332
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,13,-506.0,1.2587747975300516,-3.5153050422668457,0.010016441345214844,-8.083290595095605e-06,-0.3914068163940101,-0.5360442479432095
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,14,-112.0,1.4242241644835811,-0.8651933670043945,0.5647821426391602,-0.0011831412557512522,-0.09349212547385832,-0.296059223706834
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,15,-508.0,1.5971884625949944,-3.9063615798950195,0.40283966064453125,-4.55727604276035e-06,-0.8964829297474353,-1.8059210461797193
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,16,461.0,0.0008928141881003882,3.6004743576049805,-0.2943859100341797,-0.0004351364332251251,0.2187277076736791,0.3972232777159661
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,17,-642.0,1.941396137211985,-6.354478120803833,0.08084297180175781,9.902978490572423e-07,-0.35618162606624537,-0.7052112501114607
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,18,128.0,-1.5654479341688585,0.9631824493408203,-0.20063209533691406,1.4991517218732042e-06,0.08464968455518829,0.37792303058085963
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,19,105.0,-1.8866754888753547,1.2270197868347168,0.9075226783752441,2.0533842871373054e-05,0.06426759350506472,0.14574407262261957
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,1,1.0,0.14391389012079614,-0.046897172927856445,0.3909645080566406,-1.888431143015623e-05,0.0037113840626261663,0.08298916189232841
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,20,-230.0,3.0404721792963336,-1.570561408996582,-0.12647581100463867,-0.019762787502259016,-0.19960043373066583,-0.5673758932971396
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,21,-485.0,0.20636794252130386,-2.4230031967163086,1.2181143760681152,5.662536568706855e-05,-0.5097462724406796,-0.8117963812837843
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,22,128.0,2.461197904338812,1.2010571956634521,-0.5978307723999023,-0.004301214648876339,0.06122609345038654,0.1785966381430626
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,23,85.0,1.0404585384255505,0.7529845237731934,0.3607320785522461,-8.691690709383693e-07,0.31501484130421886,0.7536148094804958
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,24,-164.0,0.047386564720047986,-1.6890935897827148,-0.3837566375732422,7.461753557436168e-05,-0.1370249549036089,-0.5768289265106432
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,2,-74.0,1.572464276197227,-0.9140806198120117,-0.6966114044189453,-1.3322078302735463e-06,-0.02402481525859912,-0.0600364442798309
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,3,128.0,0.478199618097813,1.753312110900879,1.3896198272705078,-2.770052378764376e-05,0.06482449147006264,0.30592777766287327
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,4,-9.0,1.8822775494111852,0.06756019592285156,0.39528751373291016,-6.125933623479796e-06,-0.002568400916061364,-0.021430752734886482
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,5,335.0,0.22845965785673883,1.2228727340698242,-0.8262600898742676,-8.793450433586258e-06,0.28613418812528835,0.2323436287988443
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,6,-396.0,2.846539008161402,-3.712327003479004,-0.8882350921630859,-0.009620968718081713,-0.237639966813731,-0.379638766462449
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,7,-230.0,3.086076155174985,-1.5256023406982422,0.9341087341308594,-0.006123650120571256,-0.1715528489658027,-0.3031963581452146
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,8,128.0,0.7708491016671761,0.930372953414917,-0.12867212295532227,-0.000835413346067071,0.06832303025294095,0.1575954778236337
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,9,207.0,-0.17262817646799,1.7437970638275146,0.8422942161560059,-2.6976995286531746e-05,0.059765153269836446,0.1061545922420919
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,10,123.0,-0.3273569225008135,1.3855664730072021,1.313037395477295,-5.103849252918735e-05,0.0543961705880065,0.30952524405438453
